MMS Id,Network Number,Bibliographic Lifecycle,Collection Name,Suppressed From Discovery,Num Digital Representations  (In Repository),Title
991011507200504641,grinnell:29703,In Repository,Student Scholarship,No,1,Quenching Timescales of Dwarf Satellites around Milky Way-Mass Hosts
991011507200604641,grinnell:29700,In Repository,Student Scholarship,No,1,Birth of a Nation as an ‘Educational’ Tool for Racialized Violence
991011507200704641,grinnell:29699,In Repository,Student Scholarship,No,1,"Just, Open, Plural: Third Reconstruction: Liberalism, Americanism, Madisonianism"
991011507200804641,grinnell:29698,In Repository,Student Scholarship,No,1,On White Eyes
991011507200904641,grinnell:28278,In Repository,Student Scholarship,No,1,Inheriting the Iowa Diary: Little Women and Their Audiences on the Prairie
991011507201004641,grinnell:28277,In Repository,Student Scholarship,No,1,Characterizing the Soil Microbiome and Quantifying Antibiotic Resistance Gene Dynamics in Agricultural Soil Following Swine CAFO Manure Application
991011507201104641,grinnell:26709,In Repository,Student Scholarship,No,1,Sacre Quantique for Brass Quintet
991011507201204641,grinnell:26708,In Repository,Student Scholarship,No,1,Working Hard in Hollywood: How Hollywood Casting Directors' Performances of Gatekeeping Invest in Whiteness
991011507201304641,grinnell:31983,In Repository,Student Scholarship,No,2,Managing the Faithful: The Internal Labor Market of the Roman Catholic Church
991011507201404641,grinnell:10450,In Repository,Student Scholarship,No,3,Improved Point Transformation Methods for Self-Supervised Depth Prediction
991011507201504641,grinnell:26671,In Repository,Student Scholarship,No,1,“If You are Going to Say You’re Afro-Latina That Means That You are Black”: Afro-Latinxs Contesting the Dilution of Afro-Latinid
991011507201604641,grinnell:5650,In Repository,Student Scholarship,No,3,The Grinnell Beowulf: A Translation with Notes (Recorded Discussions)
991011507201704641,grinnell:26670,In Repository,Student Scholarship,No,1,Japanese American Artisan of California Cuisine and Produce
991011507201804641,grinnell:19349,In Repository,Student Scholarship,No,7,A Data Set of Annotated Historical Maps (2017)
991011507201904641,grinnell:26669,In Repository,Student Scholarship,No,1,Eating Graphic History: Japanese American Pioneers of the California Food Revolution
991011507202004641,grinnell:167,In Repository,Student Scholarship,No,3,Exploring Self-Governance at Grinnell
991011507202104641,grinnell:26668,In Repository,Student Scholarship,No,1,Reclassifying Islamist Organizations: A Multidimensional Typology of Political Islam
991011507202204641,grinnell:123,In Repository,Student Scholarship,No,2,The Effects of Higher Commodity Prices and Tax Changes on the Honduran Economy
991011507202304641,grinnell:232,In Repository,Student Scholarship,No,1,A Beginner's Guide to Wild Edible Plants in the Grinnell Area
991011507202404641,grinnell:120,In Repository,Student Scholarship,No,2,Grinnell’s Program in Practical Political Education
991011507202504641,grinnell:51,In Repository,Student Scholarship,No,2,Analysis of an Unidentified Medieval Codex in the Grinnell College Libraries Department of Special Collections and Archives
991011507202604641,grinnell:23297,In Repository,Student Scholarship,No,1,Ferdinand Oyono's Houseboy (1956): The Power Struggles between France and West Africa
991011507202704641,grinnell:221,In Repository,Student Scholarship,No,1,Education and Communication: Prevention of Intimate Partner Violence
991011507202804641,grinnell:3417,In Repository,Student Scholarship,No,7,"Iowa: Lines, Borders, Boundaries"
991011507202904641,grinnell:108,In Repository,Student Scholarship,No,2,Peace in the Mountains
991011507203004641,grinnell:19508,In Repository,Student Scholarship,No,1,Hyphens and Accents: The Hidden Violence of Assimilation
991011507203104641,grinnell:4958,In Repository,Student Scholarship,No,9,A Mandate for Hypocrisy: The Black Studies Major at Grinnell College
991011507203204641,grinnell:19507,In Repository,Student Scholarship,No,1,"The Refusal of Russian Motherhood, Annotated Bibliography"
991011507203304641,grinnell:18958,In Repository,Student Scholarship,No,1,"Limitations of Second-Generation Korean Americans’ Ethnic Options: Strategy, Labor, and Reward"
991011507203404641,grinnell:29822,In Repository,Student Scholarship,No,16,Frozen Ink
991011507203504641,grinnell:18957,In Repository,Student Scholarship,No,1,Muslim Public Intellectuals: Revealing Conditional Participation through Circulation
991011507203604641,grinnell:23330,In Repository,Student Scholarship,No,2,Georeferenced Control Points for Historical Maps
991011507203704641,grinnell:18956,In Repository,Student Scholarship,No,1,"CAFOs, Conflict, and Compromise: An Ethnographic Approach to Attitudes Towards Livestock Production and Related Conflict in Iowa"
991011507203804641,grinnell:3416,In Repository,Student Scholarship,No,2,Historical Changes in the Skunk River Channel
991011507203904641,grinnell:106,In Repository,Student Scholarship,No,2,Straws of Steel: Earthquake-Proof Houses
991011507204004641,grinnell:18954,In Repository,Student Scholarship,No,1,There is No God: Critique of Colonization in Isle of Flowers
991011507204104641,grinnell:18952,In Repository,Student Scholarship,No,1,Building Community behind Barbed Wires: The ‘Religious Life’ of Japanese American Youth in Internment Camps
